ETM,Categorie_INERIS,mode_filtrage,n_strict_bdf,n_total,n_bdf_exclus,n_outliers_grubbs,poids_total,BCF_min,BCF_max,BCF_median,BCF_mean_arith,BCF_mean_geom_pond,n_reg_simple,A_simple,B_simple,r2_simple,p_simple,OP_min,OP_max,Cs_valid_min,Cs_valid_max,n_reg_multiple,pearson_p_pH,pearson_p_MO,vars_mult_model,A_mult,B_lnCs_mult,C_pH,D_MO,r2_multiple,F_stat_mult,p_fisher_mult,OP_min_mult,OP_max_mult,pH_valid_min,pH_valid_max,MO_valid_min,MO_valid_max,best_distrib,AD_stat,AD_pval_lognorm,regression_retenue,Br_E,unité,modele
Co,tubercules,assoupli,10,11,2,0,47.0000,0.0007,47.6190,4.7619,11.8166,3.3619,11,-2.7780,-0.8903,0.8436,0.0001,0.0534,18.6493,0.0010,16.0000,2,,,,,,,,,,,,,,,,,lognormale,0.5367,0.1219,True,3.3619,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cr,légumes-feuilles,strict,86,86,8,0,579.0000,0.0002,2.3750,0.2065,0.3710,0.0403,86,-1.6519,-0.1819,0.0225,0.1681,0.0022,22.9523,0.0500,1720.0000,48,0.2244,0.8084,ln_Cs,,,,,,,,,,,,,,gamma,1.1179,0.0100,False,0.0403,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cr,légumes-fruits,strict,75,75,8,0,313.0000,0.0001,3.0755,0.0230,0.2588,0.0355,75,-5.9881,0.5742,0.2357,0.0000,0.0035,93.2851,1.2200,2781.0000,55,0.0000,0.0008,ln_Cs+pH+MO,-11.7132,0.3918,0.8824,0.2969,0.4030,11.4780,0.0000,0.0040,18.5180,5.5000,8.2000,0.3000,5.2000,Pearson_V,0.4980,0.0100,False,0.0355,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cr,légumes-racines,assoupli,5,28,4,0,113.0000,0.0022,0.3659,0.0399,0.0674,0.0387,28,-2.0373,-0.4050,0.2006,0.0168,0.1017,13.9261,1.2200,1345.0000,10,0.3219,0.4679,ln_Cs,,,,,,,,,,,,,,lognormale,0.4999,0.1500,False,0.0387,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cr,tubercules,assoupli,10,28,8,0,69.0000,0.0023,0.2358,0.0242,0.0474,0.0503,28,-0.9563,-0.8415,0.2769,0.0040,0.1314,17.9522,9.6500,320.0000,17,0.8013,0.0134,ln_Cs+MO,-2.0019,-0.6841,,0.1016,0.5429,8.3127,0.0042,0.1389,3.2954,,,1.1600,17.2000,lognormale,0.5474,0.1296,False,0.0503,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cu,légumes-feuilles,strict,181,181,16,0,917.0000,0.0065,2.6171,0.2227,0.3839,0.2225,181,0.0641,-0.4192,0.2121,0.0000,0.0742,15.9959,1.3200,611.8000,123,0.0656,0.0917,ln_Cs+pH+MO,2.1814,-0.6543,-0.1915,0.1005,0.3790,24.2044,0.0000,0.0810,9.0735,4.6900,9.8700,0.8200,14.8900,lognormale,0.3613,0.1500,False,0.2225,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cu,légumes-fruits,strict,143,143,7,2,614.0000,0.0133,2.3370,0.2207,0.3781,0.1881,141,0.0794,-0.4516,0.3151,0.0000,0.0418,13.0783,0.9000,430.0000,76,0.0461,0.6223,ln_Cs+pH,1.9611,-0.6296,-0.1571,,0.4404,28.7266,0.0000,0.0279,13.7597,4.5900,8.4000,,,lognormale,0.2051,0.1500,False,0.1881,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cu,légumes-racines,strict,21,21,0,0,77.0000,0.0150,0.9151,0.1114,0.2137,0.1795,21,0.7364,-0.7649,0.8041,0.0000,0.2815,2.5158,3.6500,430.0000,13,0.7429,0.9958,ln_Cs,,,,,,,,,,,,,,lognormale,0.4504,0.1500,True,0.1795,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Cu,tubercules,strict,52,52,0,1,333.0000,0.0196,1.4069,0.2273,0.3516,0.3403,51,-0.3337,-0.3917,0.2770,0.0001,0.0894,3.5094,1.1200,357.0000,20,0.3271,0.2169,ln_Cs,,,,,,,,,,,,,,lognormale,0.1760,0.1500,True,0.3403,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Hg,légumes-feuilles,strict,21,21,0,0,98.0000,0.0004,7.5000,0.8000,1.2215,0.0363,21,-4.9703,-1.2052,0.7849,0.0000,0.0560,9.6832,0.0100,23.0000,13,0.0539,0.0000,ln_Cs,,,,,,,,,,,,,,normale,1.9793,0.0100,True,0.0363,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
Hg,légumes-fruits,strict,33,33,0,0,51.0000,0.0625,4.2000,1.4231,1.2158,0.4958,33,-0.6096,-0.3035,0.1552,0.0233,0.0984,4.0598,0.0200,11.0000,30,0.0000,0.0000,ln_Cs+pH+MO,4.8407,-0.0473,-0.6476,-0.3976,0.5390,10.1313,0.0001,0.3198,7.4621,5.5000,7.7300,1.1500,4.2000,normale,1.2309,0.0100,False,0.4958,mg/kg_vegsec / (mg/kg_sol),BAPPET_OLS
